id,DAY(upload_date),MONTH(upload_date),YEAR(upload_date),q_score,likes_rate,comments_rate,like_count,dislike_count,view_count,COUNT(comments),MEAN(comments.likes),SKEW(comments.likes),MIN(comments.likes),NUM_UNIQUE(comments.username),channel_id,username_channel
95wKjZdlFvk,3,12,2017,0.739333333,4.465722838,1.287662413,1304,195,292002,23,6.869565217,2.641523168,2,20,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
cJjQsmHQXxo,4,12,2017,0.794117647,3.093421324,0.618684265,30,3,9698,1,2,,2,1,UCiUr2T6evlGnRWZKf6smOKA,Life in Vietnam
QrLqKXt3D7g,5,12,2017,0.79265873,5.516828465,1.270764475,903,104,163681,13,6.076923077,1.258940738,2,12,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
4V4KjfmH5vw,9,12,2017,0.90728624,10.1074679,1.440372403,38623,1877,3821234,238,39.97478992,6.358647188,2,235,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
4WsT1r_XZ1U,9,12,2017,0.827586207,6.730520321,0.258866166,26,2,3863,0,,,,,UCnkmn2G1SkujhpUdiYPKHRg,Vietnam Discovery
K3ZYrKLwqYQ,9,12,2017,0.772493573,5.423445974,1.857667997,689,88,127041,11,4.454545455,1.833238176,2,10,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
Vm29IOPSk5Q,9,12,2017,0.25,3.921568627,1.960784314,2,1,510,0,,,,,UCnkmn2G1SkujhpUdiYPKHRg,Vietnam Discovery
emBKidMYkhQ,9,12,2017,-0.166666667,4.728132388,2.364066194,2,3,423,0,,,,,UCiUr2T6evlGnRWZKf6smOKA,Life in Vietnam
m7S3zjG0IKU,9,12,2017,0.727272727,3.995239714,0.170010201,47,7,11764,1,2,,2,1,UCnkmn2G1SkujhpUdiYPKHRg,Vietnam Discovery
s96rIWKNHUg,10,12,2017,0.375,1.92159877,0.384319754,5,2,2602,0,,,,,UCnkmn2G1SkujhpUdiYPKHRg,Vietnam Discovery
_HZDRQA27I4,12,12,2017,0.352941176,3.061508489,2.226551628,11,5,3593,0,,,,,UCnkmn2G1SkujhpUdiYPKHRg,Vietnam Discovery
_s-x2e1BatY,13,12,2017,0.5,2.312138728,1.156069364,4,1,1730,0,,,,,UCnkmn2G1SkujhpUdiYPKHRg,Vietnam Discovery
rWx20VG2z-g,13,12,2017,0.776025237,5.222125975,1.472590026,844,106,161620,18,5.277777778,1.934968755,2,17,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
2rKNqwdS4xA,15,12,2017,0.941925219,11.98531816,1.254680501,20748,620,1731118,128,34.796875,4.312028935,2,127,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
4lGZx-nYiPw,15,12,2017,0.785714286,6.677796327,0.556483027,12,1,1797,0,,,,,UCnkmn2G1SkujhpUdiYPKHRg,Vietnam Discovery
ws4cGNvwRbg,16,12,2017,0.84345351,8.177324137,2.425406129,971,82,118743,20,6.15,1.879979373,2,19,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
gzXz8EyLU28,19,12,2017,0.8425,7.659007659,1.748251748,368,31,48048,7,3.571428571,1.137251124,2,6,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
aHePGGgQu1I,20,12,2017,0.857142857,7.243614182,1.524971407,19,1,2623,0,,,,,UCnkmn2G1SkujhpUdiYPKHRg,Vietnam Discovery
aZhdcNNbtlM,20,12,2017,0.666666667,10.56338028,0.88028169,12,2,1136,0,,,,,UCnkmn2G1SkujhpUdiYPKHRg,Vietnam Discovery
eYM_QBw8hKY,21,12,2017,0.5,6.535947712,3.267973856,4,1,612,0,,,,,UCnkmn2G1SkujhpUdiYPKHRg,Vietnam Discovery
XjxE5T1hY50,24,12,2017,0.571428571,7.374631268,1.474926254,5,1,678,0,,,,,UCnkmn2G1SkujhpUdiYPKHRg,Vietnam Discovery
nLGZ0wkmuXU,25,12,2017,0.847457627,3.547963206,0.328515112,54,4,15220,0,,,,,UCnkmn2G1SkujhpUdiYPKHRg,Vietnam Discovery
kSSxxhbXDvc,26,12,2017,0.857142857,8.474576271,0.89206066,19,1,2242,0,,,,,UCnkmn2G1SkujhpUdiYPKHRg,Vietnam Discovery
aA5RQC3EQdc,27,12,2017,0.950172582,11.16382665,0.969754207,11017,281,986848,73,17.67123288,6.479286669,2,70,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
49c2ZoC7fe4,28,12,2017,0.781857451,7.122236244,2.333742459,412,50,57847,4,4,1.414213562,2,3,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
hO49lCmuMMU,31,12,2017,0.931952663,18.20517116,8.823365164,326,11,17907,8,5.375,2.271255222,2,7,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
O8nVnHlmhCM,3,1,2018,0.898817054,7.465237876,0.605916869,42777,2279,5730159,158,31.60759494,7.593833655,2,153,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
yoS0x8uOOlg,5,1,2018,0.936327498,10.63800439,1.039891367,13882,456,1304944,68,21.48529412,4.82421247,2,65,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
dXBQ-O-0PAY,9,1,2018,0.752707581,8.700019732,3.264749673,485,68,55747,19,3.157894737,1.433690923,2,17,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
C5obLwGGHFM,12,1,2018,0.933059438,9.813354469,0.778067563,21643,749,2205464,120,15.61666667,7.507324375,2,117,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
HxZT0W9H0cg,19,1,2018,0.948337547,10.20149718,1.10252702,20421,541,2001765,177,34.49717514,7.455182465,2,171,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
Voc9L5R6frU,26,1,2018,0.93730121,10.72103893,0.942415538,26495,857,2471309,163,17.5398773,5.745858487,2,159,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
AD8jz-NzIlE,30,1,2018,0.918478261,11.69901622,2.791810689,176,7,15044,1,2,,2,1,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
tUAi-xORac8,30,1,2018,0.882758621,11.3874236,2.177007452,136,8,11943,0,,,,,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
vt30DFv-g1w,2,2,2018,0.940946053,10.96694228,1.258519945,19572,595,1784636,127,18.63779528,7.145764594,2,123,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
bggKKcBcm2I,3,2,2018,0.916666667,11.12551307,1.29617628,103,4,9258,0,,,,,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
U8EG6Z30U_s,6,2,2018,0.575949367,4.048715186,0.946876939,124,33,30627,4,3.25,1.6585238,2,4,UCNyaiKq1S8y3lC4Iktsi6fg,Quang Chau
v8ErhYxT6lw,6,2,2018,0.963235294,10.84828711,1.63132137,133,2,12260,1,2,,2,1,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
_dHEkONkXXM,8,2,2018,0.831125828,9.233239663,2.575940051,276,25,29892,2,4,,2,2,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
bXPtdAe2_GA,8,2,2018,0.940652669,10.07092392,0.950483486,19178,586,1904294,96,23.17708333,7.744795884,2,93,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
HLWAhEmv814,9,2,2018,0.962243074,13.96562764,1.392958457,13174,253,943316,133,15.06766917,7.527969336,2,129,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
fN4nV2azvI8,11,2,2018,0.890995261,12.79907384,3.151530744,199,11,15548,2,5.5,,5,2,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
9uhu_khpy1Y,13,2,2018,0.820618557,7.545168355,2.104434711,441,43,58448,19,2.736842105,1.606141964,2,17,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
2bRzwfO3f6k,20,2,2018,0.516129032,6.385341477,1.665741255,23,7,3602,0,,,,,UCNyaiKq1S8y3lC4Iktsi6fg,Quang Chau
