video_id,Like,No like,From 1 from 10,From 11 to 100,From 101 to 1K,More than 1K
0nUVdKt3O6s,29,43,29,0,0,0
0nce0A6Ajv8,12,8,12,0,0,0
0o-0nVUSm3k,135,156,126,9,0,0
0oAYBt_Mx3s,8,9,8,0,0,0
0pPGD9bWSnU,13,0,13,0,0,0
0pqAsuZ8c6Y,34,30,34,0,0,0
0qMQYR9JCLg,188,318,164,21,3,0
0qjX-_MtF0g,89,354,75,13,1,0
0qk-HUCdjME,146,1073,130,13,3,0
0qyNt_cVJ5E,13,27,13,0,0,0
0rfQiSoINBY,0,1,0,0,0,0
0ryOXPeoIA8,13,11,13,0,0,0
0sWJprLEtOE,638,427,573,52,13,0
0sXquV-N03c,46,144,43,3,0,0
0ttwpEPRHug,6,34,6,0,0,0
0u2qEg6S_Ig,115,290,95,14,6,0
0uIcRFhALU4,461,1139,322,102,34,3
0uL3jbaf2sU,16,24,12,4,0,0
0ueLgFn0TRI,94,186,89,5,0,0
0uxPxGkr1_g,25,21,25,0,0,0
0vjjDf73Emc,30,74,28,2,0,0
0vwLV87EQ3s,136,391,110,22,4,0
0wQxxo9hj8E,0,1,0,0,0,0
0wUqUAYF33g,135,38,132,3,0,0
0y82IesxdYU,153,31,147,6,0,0
0yMFzzooeGA,431,1001,387,39,5,0
0yMquGtEktc,28,30,28,0,0,0
0zzyUpH_E14,529,731,301,181,44,3
1-8MKDbul6M,11,12,11,0,0,0
1-8TZ2v7GJY,12,9,11,1,0,0
1-Y-rHWVLAk,10,3,10,0,0,0
110TfQeQ3YQ,109,187,101,8,0,0
119rIuOU86E,15,30,13,2,0,0
11QOh2eofWI,54,7,52,2,0,0
11bnTROE1iM,58,16,51,7,0,0
11g_-A0Eo10,15,25,11,4,0,0
11qZwzkKDmA,25,61,24,1,0,0
124nZ-R1Bw8,16,1,16,0,0,0
12Krm2HLdKA,99,104,93,6,0,0
12p_xzZzs38,93,38,91,2,0,0
12zx6XV2kbs,9,0,9,0,0,0
1350K9xCEzA,89,149,77,12,0,0
14UvXoGHbO4,1,3,1,0,0,0
14_V7eaO8b4,4,21,4,0,0,0
151ce6lUCHk,86,8,86,0,0,0
156qGqe63D4,2,3,2,0,0,0
15SOYGMVV3o,5,0,5,0,0,0
16ZUM7Aug0E,237,759,212,20,5,0
16q6yf8gs3U,11,3,11,0,0,0
17DaV19vP2g,139,192,122,16,1,0
17Q4RE0g03M,0,1,0,0,0,0
17VgURItm9U,54,113,52,2,0,0
18L-VL_icKM,0,1,0,0,0,0
18U3vShqUHc,64,35,64,0,0,0
19FtJEBBu-Y,86,467,76,8,2,0
1AZ5inbxw3A,0,2,0,0,0,0
1AvnMC5o768,1,1,1,0,0,0
1AyfObg043E,6,3,6,0,0,0
1B3sMmum-aE,0,4,0,0,0,0
1BBRstaPIUE,31,49,30,1,0,0
1BEZecTuhRw,3,7,3,0,0,0
1BRVL3QVfE8,39,10,37,2,0,0
1BT51EmCb98,0,1,0,0,0,0
1BkgcIWHkHE,100,293,88,10,2,0
1Cdw6r4aR9s,5,1,5,0,0,0
1Cfe_x8Ik1g,189,324,165,19,5,0
1CgmBVsHk7Y,26,36,26,0,0,0
1CtJM4xvAxs,8,0,8,0,0,0
1D1G0W2yuQM,0,2,0,0,0,0
1DBo_hKUoGk,9,9,9,0,0,0
1DkCxdxJaKE,167,795,148,15,4,0
1EaTvMc7IOs,41,53,41,0,0,0
1Ef3LTClz4k,20,40,19,1,0,0
1Er5LOjDdco,1,9,1,0,0,0
1EyCltN8ldA,0,4,0,0,0,0
1FIvif3Dbgo,109,5,109,0,0,0
1G77J9LibNY,66,2,64,2,0,0
1GClb20wRWY,197,62,153,44,0,0
1GYSH6gRY_w,1,4,1,0,0,0
1GcnztssppY,23,9,23,0,0,0
1GxEEwjRj9U,117,100,109,8,0,0
1H6SuGePlFo,187,155,179,8,0,0
1Hb4RTxyExU,8,0,8,0,0,0
1HlkZjW_mGI,5,49,5,0,0,0
1HxkUlNCWwo,22,10,19,3,0,0
1IAQf0MBdOE,41,28,39,2,0,0
1InXvR5ApNQ,4,1,4,0,0,0
1J27zrsicAQ,32,29,32,0,0,0
1J6mWbfllIQ,4,10,4,0,0,0
1JTSK-3zCjw,3,2,3,0,0,0
1JUBqylQ6nU,5,0,5,0,0,0
1KCiwqHjUsM,0,2,0,0,0,0
1Ksbej8QVPk,69,170,63,6,0,0
1LG-CR5FP-I,76,340,73,3,0,0
1LdhtL10aGc,23,26,23,0,0,0
1Lfny6T7RFU,98,808,90,6,2,0
1Ljtc5Luk4w,28,31,28,0,0,0
1Ly6wBJZLZY,0,4,0,0,0,0
1N1B9egc6vU,72,11,67,5,0,0
1N6_XLcjuzY,98,282,95,3,0,0
1NCq89NG0GI,24,16,24,0,0,0
1NOuAyDtzFc,22,36,19,3,0,0
1NacK6IdtBQ,20,4,20,0,0,0
1OKI19rOmpQ,0,2,0,0,0,0
1OX55_34k4I,119,24,112,7,0,0
1Od4qWEunkI,19,23,19,0,0,0
1Op9ymzrXpI,11,29,10,1,0,0
1Ox_2Rccdxg,34,14,26,8,0,0
1P2RjEfGSDU,15,45,15,0,0,0
1P4RmkIRUoE,160,1053,134,23,3,0
1PMi45_t954,59,38,58,1,0,0
1Qj-MIMnZSY,89,454,86,3,0,0
1R5ZaNAY0MQ,0,3,0,0,0,0
1RHzAbyN6RI,30,109,29,1,0,0
1RKjvLCxMnM,18,8,18,0,0,0
1TKaiOWDwKM,36,67,33,3,0,0
1Ta79znYOKQ,4,2,4,0,0,0
1UgKvfYy5hE,446,1154,282,108,53,3
1UhsI4Accuo,160,164,120,30,10,0
1V-cPS-b9oA,82,58,64,17,1,0
1VHMgw3YwHc,2,2,2,0,0,0
1WAMCMka-uM,467,1133,325,114,27,1
1WqaCq87tHE,30,53,30,0,0,0
1XOxXTY0QFo,13,47,10,3,0,0
1Xcjtgq612Y,8,1,8,0,0,0
1Y0FHDdTBH4,3,1,3,0,0,0
1YBy0SyUXJI,10,4,10,0,0,0
1YIszJ10wbo,38,264,36,2,0,0
1YnrFxsMVoY,125,304,116,8,1,0
1Z8-4rdEaDA,0,1,0,0,0,0
1Zs9AD4zEg8,172,486,148,23,1,0
1_aWtj1F1sE,0,2,0,0,0,0
1_r0rWmJlLE,2,30,2,0,0,0
1a3KKqyqobs,7,13,7,0,0,0
1a7dMYLxna4,7,13,7,0,0,0
1aAPl0UVKUA,18,40,17,1,0,0
1aLe41io5CY,3,2,3,0,0,0
1b2yODkrl18,44,57,38,6,0,0
1bB2IoX4TF0,34,41,34,0,0,0
1cHRKg4uL0o,14,151,13,1,0,0
1cNT1YgX97I,2,31,2,0,0,0
1cTySnSqC0s,15,66,14,1,0,0
1ckK_hevLtk,34,26,32,2,0,0
1d7mlgxwaTE,6,0,6,0,0,0
1dmZv1dnLuM,110,217,108,2,0,0
1dwny3lTyFk,9,12,8,1,0,0
1evwAgWaCzY,20,38,20,0,0,0
1fQC7eDEPsI,11,6,11,0,0,0
1fa8vDypJKw,50,57,49,1,0,0
1gOo3AfaAv8,18,2,12,4,2,0
1gVsHWefLnM,36,0,32,4,0,0
1geyVOOoe6M,358,1242,235,110,12,1
1hPpEn1FfBE,1,1,1,0,0,0
1hUakYST1_E,161,329,133,24,4,0
1i7jXHik5h0,1,0,1,0,0,0
1iOHoDgKOAc,0,3,0,0,0,0
1iPOLxLNl_0,27,7,21,6,0,0
1ikf3PeGiWU,75,90,66,9,0,0
1im8YvovTro,211,919,171,34,6,0
1j45pxAkefo,8,28,7,1,0,0
1jHpBeqA_0M,2,4,2,0,0,0
1jROm7sefiI,4,4,4,0,0,0
1jU5gWwmYrI,1,2,1,0,0,0
1joeJMr2Mxs,54,106,48,6,0,0
1kJhCEMG_7g,34,174,32,2,0,0
1kkxfG5sJek,24,4,24,0,0,0
1koOFYdJWlk,93,804,83,10,0,0
1kpfbxYHxwo,1,0,1,0,0,0
1l14y83SyCk,2,2,2,0,0,0
1l61wOmT-VA,27,69,21,6,0,0
1lEdcDtOO_M,3,2,3,0,0,0
1lLbobbaQ-A,70,40,56,13,1,0
1mM3DhTbkSc,4,3,4,0,0,0
1mNqBocp940,223,750,193,25,5,0
1mTYWfRW_O0,11,6,11,0,0,0
1nJxigZfo4k,17,4,17,0,0,0
1nhiYVcz9FU,57,215,47,7,3,0
1o9E6SSOQoQ,101,15,101,0,0,0
1okQG3DxaUQ,57,244,50,5,2,0
1on_MQEU1H0,140,249,125,15,0,0
1pVkE2VRC2o,3,5,3,0,0,0
1ppZhb88rzE,4,0,4,0,0,0
1pq6_W9EROs,45,64,45,0,0,0
1qffgGuhC60,52,188,45,7,0,0
1rBOOUveY3o,165,282,121,39,5,0
1rIjo8DIrkw,79,28,77,2,0,0
1sGd-V5_YPE,4,20,4,0,0,0
1uoCVw0CWaY,26,152,22,4,0,0
1uzBq7XozWo,23,17,23,0,0,0
1vGxXNguy_4,5,15,5,0,0,0
1wIcHXoD6s4,82,84,72,10,0,0
1wbOLQS4LWk,7,15,7,0,0,0
1xAqCFI2Qmc,19,2,19,0,0,0
1xQRBusBZkA,0,1,0,0,0,0
1xigipql3nI,8,3,8,0,0,0
1xzV4Fu0ArQ,4,4,4,0,0,0
1yWsYUq4guY,0,1,0,0,0,0
1yesZ7UwlrU,0,3,0,0,0,0
1yuyaUYae3E,0,2,0,0,0,0
1z2QV51kU1E,0,1,0,0,0,0
2---XG-joCo,16,0,15,1,0,0
2-416QMi33M,179,378,157,22,0,0
2-Gh7QCAZfw,2,11,2,0,0,0
2-uFqOrwreE,15,6,15,0,0,0
20MoiO5qenc,138,151,129,9,0,0
20VbkG08eTc,2,9,2,0,0,0
20WnserfgIw,49,163,49,0,0,0
21212aSSsdo,14,23,14,0,0,0
21XdeKOtJXs,0,5,0,0,0,0
